,Phase,Ascii file,Tel
0,5.240000000005239,21322.SN2002bo.ascii,WHT-4.2m / ISIS
1,-1.5329976851862739,21368.SN2002bo.ascii,Lick-3m / KAST
2,15.610995370370802,21369.SN2002bo.ascii,Lick-3m / KAST
3,-1.532999999995809,100446.SN2002bo.ascii,Lick-3m / KAST
4,15.610999999997148,100447.SN2002bo.ascii,Lick-3m / KAST
5,-9.789999999993597,104539.SN2002bo.ascii,Ekar / AFOSC
6,-4.849999999998545,104540.SN2002bo.ascii,WHT-4.2m / ISIS
7,-3.7599999999947613,104541.SN2002bo.ascii,Ekar / AFOSC
8,-4.680000000000291,104542.SN2002bo.ascii,Ekar / AFOSC
9,-2.7999999999956344,104543.SN2002bo.ascii,NOT / ALFOSC
10,-1.7399999999979627,104544.SN2002bo.ascii,NOT / ALFOSC
11,-1.819999999999709,104545.SN2002bo.ascii,Ekar / AFOSC
12,-0.6199999999953434,104547.SN2002bo.ascii,Ekar / AFOSC
13,12.354878356483823,110033.SN2002bo.ascii,VLT-UT1 / FORS1
14,-1.637719398153422,110073.SN2002bo.ascii,VLT-UT1 / FORS1
15,-4.612627094902564,110078.SN2002bo.ascii,VLT-UT1 / FORS1
16,-7.5816280208237,110118.SN2002bo.ascii,VLT-UT1 / FORS1
17,9.396649340284057,110119.SN2002bo.ascii,VLT-UT1 / FORS1
