,Phase,Ascii file,Tel
0,-9.630000000004657,21397.SN2004dt.ascii,CA-2.2m / CAFOS
1,-8.67000000000553,21399.SN2004dt.ascii,CA-2.2m / CAFOS
2,-6.6600000000034925,21401.SN2004dt.ascii,CA-2.2m / CAFOS
3,-6.610000000000582,21402.SN2004dt.ascii,NOT / ALFOSC
4,-6.5900000000037835,21403.SN2004dt.ascii,TNG / DOLORES
5,-5.730000000003201,21404.SN2004dt.ascii,CA-2.2m / CAFOS
6,-4.610000000000582,21405.SN2004dt.ascii,NOT / ALFOSC
7,-3.7600000000020373,21406.SN2004dt.ascii,CA-2.2m / CAFOS
8,-3.1200000000026193,21407.SN2004dt.ascii,ANU-2.3m / DBS
9,-2.0800000000017462,21408.SN2004dt.ascii,ANU-2.3m / DBS
10,-1.069999999999709,21410.SN2004dt.ascii,ANU-2.3m / DBS
11,-0.7100000000064028,21411.SN2004dt.ascii,Ekar / AFOSC
12,2.289999999993597,21412.SN2004dt.ascii,NOT / ALFOSC
13,14.279999999998836,21416.SN2004dt.ascii,NOT / ALFOSC
14,17.32999999999447,21417.SN2004dt.ascii,Other / Other
15,20.389999999999418,21419.SN2004dt.ascii,NOT / ALFOSC
16,-6.387002314819256,21424.SN2004dt.ascii,Lick-3m / KAST
17,-6.387000000002445,100685.SN2004dt.ascii,Lick-3m / KAST
18,18.557999999997264,100687.SN2004dt.ascii,Lick-3m / KAST
19,19.619999999995343,102900.SN2004dt.ascii,FLWO-1.5m / FAST
20,-9.506615370373765,110045.SN2004dt.ascii,VLT-UT1 / FORS1
21,10.490356365742628,110065.SN2004dt.ascii,VLT-UT1 / FORS1
22,5.430077048607927,110149.SN2004dt.ascii,VLT-UT1 / FORS1
23,5.461076203697303,110165.SN2004dt.ascii,VLT-UT1 / FORS1
24,4.56274042824225,110174.SN2004dt.ascii,VLT-UT1 / FORS1
