,Phase,Ascii file,Tel
0,5.002002314809943,18709.SN2005am.ascii,Keck1 / LRIS
1,5.0020000000004075,100731.SN2005am.ascii,Keck1 / LRIS
2,-3.0,102966.SN2005am.ascii,FLWO-1.5m / FAST
3,1.9499999999970896,102967.SN2005am.ascii,FLWO-1.5m / FAST
4,2.9499999999970896,102968.SN2005am.ascii,FLWO-1.5m / FAST
5,3.9099999999962165,102969.SN2005am.ascii,FLWO-1.5m / FAST
6,4.930000000000291,102970.SN2005am.ascii,FLWO-1.5m / FAST
7,6.9099999999962165,102971.SN2005am.ascii,FLWO-1.5m / FAST
8,7.930000000000291,102972.SN2005am.ascii,FLWO-1.5m / FAST
9,9.919999999998254,102973.SN2005am.ascii,FLWO-1.5m / FAST
10,10.930000000000291,102974.SN2005am.ascii,FLWO-1.5m / FAST
11,14.89999999999418,102976.SN2005am.ascii,FLWO-1.5m / FAST
