,Phase,Ascii file,Tel
0,-9.299999999995634,6419.SN2005cf.ascii,Lick-3m / KAST
1,-8.299999999995634,6422.SN2005cf.ascii,Lick-3m / KAST
2,-7.299999999995634,6425.SN2005cf.ascii,Lick-3m / KAST
3,-6.299999999995634,6429.SN2005cf.ascii,Lick-3m / KAST
4,-2.3999999999941792,6434.SN2005cf.ascii,Lick-3m / KAST
5,-1.5,6436.SN2005cf.ascii,Lick-3m / KAST
6,1.6000000000058208,6439.SN2005cf.ascii,FLWO-1.5m / FAST
7,18.5,6451.SN2005cf.ascii,Lick-3m / KAST
8,-2.422999999995227,100747.SN2005cf.ascii,Lick-3m / KAST
9,-1.4949999999953434,100748.SN2005cf.ascii,Lick-3m / KAST
10,-9.409999999996217,103012.SN2005cf.ascii,FLWO-1.5m / FAST
11,-5.469999999993888,103013.SN2005cf.ascii,FLWO-1.5m / FAST
12,-4.44999999999709,103014.SN2005cf.ascii,FLWO-1.5m / FAST
13,-3.430000000000291,103015.SN2005cf.ascii,FLWO-1.5m / FAST
14,-2.360000000000582,103016.SN2005cf.ascii,FLWO-1.5m / FAST
15,-1.3799999999973807,103017.SN2005cf.ascii,FLWO-1.5m / FAST
16,-0.33999999999650754,103018.SN2005cf.ascii,FLWO-1.5m / FAST
17,0.5900000000037835,103019.SN2005cf.ascii,FLWO-1.5m / FAST
18,1.610000000000582,103020.SN2005cf.ascii,FLWO-1.5m / FAST
19,2.540000000000873,103021.SN2005cf.ascii,FLWO-1.5m / FAST
20,3.4900000000052387,103022.SN2005cf.ascii,FLWO-1.5m / FAST
21,4.530000000006112,103023.SN2005cf.ascii,FLWO-1.5m / FAST
22,16.610000000000582,103024.SN2005cf.ascii,FLWO-1.5m / FAST
23,-9.799999999995634,104674.SN2005cf.ascii,NOT / ALFOSC
24,-9.799999999995634,104675.SN2005cf.ascii,CA-3.5m / PMAS
25,-6.599999999998545,104676.SN2005cf.ascii,TNG / DOLORES
26,-5.5,104678.SN2005cf.ascii,ESO-NTT / EMMI
27,-3.7999999999956344,104679.SN2005cf.ascii,NOT / ALFOSC
28,-2.6999999999970896,104680.SN2005cf.ascii,NOT / ALFOSC
29,-1.1999999999970896,104681.SN2005cf.ascii,NOT / ALFOSC
30,-0.19999999999708962,104682.SN2005cf.ascii,SSO-2.3m / DBS
31,4.200000000004366,104683.SN2005cf.ascii,CA-2.2m / CAFOS
32,4.5,104684.SN2005cf.ascii,ESO-NTT / EMMI
33,5.200000000004366,104685.SN2005cf.ascii,CA-2.2m / CAFOS
34,6.200000000004366,104686.SN2005cf.ascii,CA-2.2m / CAFOS
35,7.200000000004366,104687.SN2005cf.ascii,CA-2.2m / CAFOS
36,9.5,104688.SN2005cf.ascii,ESO-NTT / EMMI
37,12.200000000004366,104689.SN2005cf.ascii,CA-2.2m / CAFOS
38,12.30000000000291,104690.SN2005cf.ascii,NOT / ALFOSC
39,14.200000000004366,104691.SN2005cf.ascii,CA-2.2m / CAFOS
40,16.200000000004366,104692.SN2005cf.ascii,CA-2.2m / CAFOS
41,-5.53413276620995,110117.SN2005cf.ascii,VLT-UT1 / FORS1
