,Phase,Ascii file,Tel
0,-8.400000000001455,6975.SN2005hk.ascii,Lick-3m / KAST
1,-6.400000000001455,6977.SN2005hk.ascii,APO-3.5m / DIS
2,-5.19999999999709,6979.SN2005hk.ascii,Keck1 / LRIS
3,-4.299999999995634,6980.SN2005hk.ascii,APO-3.5m / DIS
4,-8.394000000000233,100792.SN2005hk.ascii,Lick-3m / KAST
5,-5.267999999996391,100793.SN2005hk.ascii,Keck1 / LRIS
6,-9.409999999996217,103080.SN2005hk.ascii,FLWO-1.5m / FAST
7,-7.379999999997381,103082.SN2005hk.ascii,FLWO-1.5m / FAST
8,-6.3399999999965075,103083.SN2005hk.ascii,FLWO-1.5m / FAST
9,-5.379999999997381,103084.SN2005hk.ascii,FLWO-1.5m / FAST
10,-4.379999999997381,103085.SN2005hk.ascii,FLWO-1.5m / FAST
11,-3.3699999999953434,103086.SN2005hk.ascii,FLWO-1.5m / FAST
12,-1.4626573958303197,110008.SN2005hk.ascii,VLT-UT1 / FORS1
13,12.477338067132223,110013.SN2005hk.ascii,VLT-UT1 / FORS1
