,Phase,Ascii file,Tel
0,-2.3140000000057626,100975.SN2006N.ascii,Lick-3m / KAST
1,-1.3149999999950523,100976.SN2006N.ascii,Lick-3m / KAST
2,11.685000000004948,100977.SN2006N.ascii,Lick-3m / KAST
3,-3.3699999999953434,103335.SN2006N.ascii,FLWO-1.5m / FAST
4,-1.3399999999965075,103336.SN2006N.ascii,FLWO-1.5m / FAST
5,0.7200000000011642,103337.SN2006N.ascii,FLWO-1.5m / FAST
6,1.639999999999418,103338.SN2006N.ascii,FLWO-1.5m / FAST
7,2.6200000000026193,103339.SN2006N.ascii,FLWO-1.5m / FAST
8,4.620000000002619,103340.SN2006N.ascii,FLWO-1.5m / FAST
9,5.620000000002619,103341.SN2006N.ascii,FLWO-1.5m / FAST
10,6.610000000000582,103342.SN2006N.ascii,FLWO-1.5m / FAST
11,7.599999999998545,103343.SN2006N.ascii,FLWO-1.5m / FAST
12,8.610000000000582,103344.SN2006N.ascii,FLWO-1.5m / FAST
