,Phase,Ascii file,Tel
0,1.0999999999985448,14570.SN2006X.ascii,Lick-3m / KAST
1,2.313000000001921,100997.SN2006X.ascii,Lick-3m / KAST
2,1.3000000000029104,103378.SN2006X.ascii,FLWO-1.5m / FAST
3,2.3100000000049477,103379.SN2006X.ascii,FLWO-1.5m / FAST
4,4.260000000002037,103380.SN2006X.ascii,FLWO-1.5m / FAST
5,5.260000000002037,103381.SN2006X.ascii,FLWO-1.5m / FAST
6,6.220000000001164,103382.SN2006X.ascii,FLWO-1.5m / FAST
7,7.3400000000037835,103383.SN2006X.ascii,FLWO-1.5m / FAST
8,8.239999999997963,103384.SN2006X.ascii,FLWO-1.5m / FAST
9,10.37000000000262,103385.SN2006X.ascii,FLWO-1.5m / FAST
10,11.310000000004948,103386.SN2006X.ascii,FLWO-1.5m / FAST
11,13.360000000000582,103388.SN2006X.ascii,FLWO-1.5m / FAST
12,14.319999999999709,103389.SN2006X.ascii,FLWO-1.5m / FAST
13,-2.7528929050895385,110009.SN2006X.ascii,VLT-UT1 / FORS1
14,-3.7700823958293768,110020.SN2006X.ascii,VLT-UT1 / FORS1
15,-7.892229664343176,110106.SN2006X.ascii,VLT-UT1 / FORS1
16,-3.730988194452948,110107.SN2006X.ascii,VLT-UT1 / FORS1
17,-1.7260263194330037,110128.SN2006X.ascii,VLT-UT1 / FORS1
18,-8.732743125001434,110132.SN2006X.ascii,VLT-UT1 / FORS1
19,-6.897911504624062,110168.SN2006X.ascii,VLT-UT1 / FORS1
20,-2.8467995023165713,110178.SN2006X.ascii,VLT-UT1 / FORS1
21,-8.841555659717415,110180.SN2006X.ascii,VLT-UT1 / FORS1
22,-7.760457337964908,110191.SN2006X.ascii,VLT-UT1 / FORS1
