,Phase,Ascii file,Tel
0,-1.555000000000291,23639.SN2007af.ascii,Lick-3m / KAST
1,3.53299768519355,23643.SN2007af.ascii,Keck1 / LRIS
2,-1.555000000000291,101009.SN2007af.ascii,Lick-3m / KAST
3,3.533000000003085,101011.SN2007af.ascii,Keck1 / LRIS
4,-5.629999999997381,103408.SN2007af.ascii,FLWO-1.5m / FAST
5,-4.639999999999418,103409.SN2007af.ascii,FLWO-1.5m / FAST
6,-3.650000000001455,103410.SN2007af.ascii,FLWO-1.5m / FAST
7,-2.6599999999962165,103411.SN2007af.ascii,FLWO-1.5m / FAST
8,-1.6500000000014552,103412.SN2007af.ascii,FLWO-1.5m / FAST
9,-0.6599999999962165,103413.SN2007af.ascii,FLWO-1.5m / FAST
10,0.2900000000008731,103414.SN2007af.ascii,FLWO-1.5m / FAST
11,2.319999999999709,103415.SN2007af.ascii,FLWO-1.5m / FAST
12,3.3100000000049477,103416.SN2007af.ascii,FLWO-1.5m / FAST
13,4.319999999999709,103417.SN2007af.ascii,FLWO-1.5m / FAST
14,5.380000000004657,103418.SN2007af.ascii,FLWO-1.5m / FAST
15,10.25,103419.SN2007af.ascii,FLWO-1.5m / FAST
16,11.290000000000873,103420.SN2007af.ascii,FLWO-1.5m / FAST
17,12.349999999998545,103421.SN2007af.ascii,FLWO-1.5m / FAST
18,-0.8000000001920853,104145.SN2007af.ascii,LCO-duPont / BC-duPont
19,4.150000000001455,104147.SN2007af.ascii,LCO-duPont / BC-duPont
20,11.170000000020082,104149.SN2007af.ascii,LCO-duPont / BC-duPont
