,Phase,Ascii file,Tel
0,-8.222000000001572,101041.SN2007bm.ascii,Lick-3m / KAST
1,14.739000000001397,101042.SN2007bm.ascii,Lick-3m / KAST
2,19.699000000000524,101043.SN2007bm.ascii,Lick-3m / KAST
3,-9.309999999997672,103496.SN2007bm.ascii,FLWO-1.5m / FAST
4,6.6600000000034925,103497.SN2007bm.ascii,FLWO-1.5m / FAST
5,9.660000000003492,103498.SN2007bm.ascii,FLWO-1.5m / FAST
6,12.669999999998254,103499.SN2007bm.ascii,FLWO-1.5m / FAST
7,15.669999999998254,103500.SN2007bm.ascii,FLWO-1.5m / FAST
8,17.669999999998254,103501.SN2007bm.ascii,FLWO-1.5m / FAST
9,3.7000000001862645,104178.SN2007bm.ascii,Magellan-Baade / IMACS
10,6.5099999997837585,104179.SN2007bm.ascii,LCO-duPont / BC-duPont
