,Phase,Ascii file,Tel
0,4.75,16158.SN2007co.ascii,FLWO-1.5m / FAST
1,-4.202002314814308,16166.SN2007co.ascii,Lick-3m / KAST
2,9.807997685195005,16168.SN2007co.ascii,Lick-3m / KAST
3,-4.201999999997497,101055.SN2007co.ascii,Lick-3m / KAST
4,0.8680000000022119,101056.SN2007co.ascii,Lick-3m / KAST
5,9.807999999997264,101057.SN2007co.ascii,Lick-3m / KAST
6,-5.25,103534.SN2007co.ascii,FLWO-1.5m / FAST
7,-4.269999999996799,103535.SN2007co.ascii,FLWO-1.5m / FAST
8,-3.209999999999127,103536.SN2007co.ascii,FLWO-1.5m / FAST
9,-1.25,103537.SN2007co.ascii,FLWO-1.5m / FAST
10,-0.20999999999912689,103538.SN2007co.ascii,FLWO-1.5m / FAST
11,0.7799999999988358,103539.SN2007co.ascii,FLWO-1.5m / FAST
12,1.7600000000020373,103540.SN2007co.ascii,FLWO-1.5m / FAST
13,2.75,103541.SN2007co.ascii,FLWO-1.5m / FAST
14,3.7399999999979627,103542.SN2007co.ascii,FLWO-1.5m / FAST
15,5.849999999998545,103543.SN2007co.ascii,FLWO-1.5m / FAST
16,6.739999999997963,103544.SN2007co.ascii,FLWO-1.5m / FAST
17,7.730000000003201,103545.SN2007co.ascii,FLWO-1.5m / FAST
18,10.760000000002037,103547.SN2007co.ascii,FLWO-1.5m / FAST
