,Phase,Ascii file,Tel
0,-0.6500000000014552,101108.SN2007hj.ascii,Lick-3m / KAST
1,13.305999999996857,101109.SN2007hj.ascii,Lick-3m / KAST
2,-2.6200000000026193,103589.SN2007hj.ascii,FLWO-1.5m / FAST
3,-1.5400000000008731,103590.SN2007hj.ascii,FLWO-1.5m / FAST
4,-0.5999999999985448,103591.SN2007hj.ascii,FLWO-1.5m / FAST
5,1.4199999999982538,103592.SN2007hj.ascii,FLWO-1.5m / FAST
6,2.400000000001455,103593.SN2007hj.ascii,FLWO-1.5m / FAST
7,3.4499999999970896,103594.SN2007hj.ascii,FLWO-1.5m / FAST
8,4.430000000000291,103595.SN2007hj.ascii,FLWO-1.5m / FAST
9,6.439999999995052,103596.SN2007hj.ascii,FLWO-1.5m / FAST
10,7.430000000000291,103597.SN2007hj.ascii,FLWO-1.5m / FAST
11,8.319999999999709,103598.SN2007hj.ascii,MMT / MMT-Blue
12,12.44999999999709,103599.SN2007hj.ascii,FLWO-1.5m / FAST
13,14.37999999999738,103600.SN2007hj.ascii,FLWO-1.5m / FAST
