,Phase,Ascii file,Tel
0,-9.467002314813726,23075.SN2007le.ascii,Keck1 / LRIS
1,7.48200231482042,23076.SN2007le.ascii,Lick-3m / KAST
2,16.497997685190057,23077.SN2007le.ascii,Keck1 / LRIS
3,17.4870023148178,23078.SN2007le.ascii,Keck1 / LRIS
4,-9.466999999996915,101124.SN2007le.ascii,Keck1 / LRIS
5,7.482000000003609,101125.SN2007le.ascii,Lick-3m / KAST
6,16.497999999999593,101126.SN2007le.ascii,Keck1 / LRIS
7,17.487000000008265,101127.SN2007le.ascii,Keck1 / LRIS
8,-8.44999999999709,103643.SN2007le.ascii,FLWO-1.5m / FAST
9,-7.469999999993888,103644.SN2007le.ascii,FLWO-1.5m / FAST
10,-6.489999999997963,103645.SN2007le.ascii,FLWO-1.5m / FAST
11,5.470000000001164,103646.SN2007le.ascii,FLWO-1.5m / FAST
12,7.430000000000291,103647.SN2007le.ascii,FLWO-1.5m / FAST
13,8.470000000001164,103648.SN2007le.ascii,FLWO-1.5m / FAST
14,9.610000000000582,103649.SN2007le.ascii,FLWO-1.5m / FAST
15,10.460000000006403,103650.SN2007le.ascii,FLWO-1.5m / FAST
16,11.440000000002328,103651.SN2007le.ascii,FLWO-1.5m / FAST
17,12.460000000006403,103652.SN2007le.ascii,FLWO-1.5m / FAST
18,13.460000000006403,103653.SN2007le.ascii,FLWO-1.5m / FAST
19,14.480000000003201,103654.SN2007le.ascii,FLWO-1.5m / FAST
20,15.470000000001164,103655.SN2007le.ascii,FLWO-1.5m / FAST
21,16.510000000002037,103656.SN2007le.ascii,FLWO-1.5m / FAST
22,17.5,103657.SN2007le.ascii,FLWO-1.5m / FAST
23,18.44000000000233,103658.SN2007le.ascii,FLWO-1.5m / FAST
24,19.4800000000032,103659.SN2007le.ascii,FLWO-1.5m / FAST
25,20.460000000006403,103660.SN2007le.ascii,FLWO-1.5m / FAST
26,-9.550000000082946,104195.SN2007le.ascii,LCO-duPont / BC-duPont
27,-4.619999999922584,104196.SN2007le.ascii,LCO-duPont / BC-duPont
