,Phase,Ascii file,Tel
0,-8.709999999999127,103746.SN2008ar.ascii,FLWO-1.5m / FAST
1,-7.709999999999127,103747.SN2008ar.ascii,FLWO-1.5m / FAST
2,-0.6699999999982538,103753.SN2008ar.ascii,FLWO-1.5m / FAST
3,1.2600000000020373,103754.SN2008ar.ascii,FLWO-1.5m / FAST
4,3.2600000000020373,103755.SN2008ar.ascii,FLWO-1.5m / FAST
5,4.2700000000040745,103756.SN2008ar.ascii,FLWO-1.5m / FAST
6,5.190000000002328,103757.SN2008ar.ascii,FLWO-1.5m / FAST
7,7.370000000002619,103758.SN2008ar.ascii,FLWO-1.5m / FAST
8,10.120000000206346,104300.SN2008ar.ascii,Magellan-Clay / MagE
9,11.190000000038708,104301.SN2008ar.ascii,Magellan-Clay / LDSS-3
