,Phase,Ascii file,Tel
0,-9.919999999998254,5269.SN2011fe.ascii,WHT-4.2m / ISIS
1,-9.549999999995634,5270.SN2011fe.ascii,Keck1 / LRIS
2,-8.839999999996508,5271.SN2011fe.ascii,WHT-4.2m / ISIS
3,-7.879999999997381,5273.SN2011fe.ascii,WHT-4.2m / ISIS
4,-9.529999999998836,5321.SN2011fe.ascii,HST / STIS
5,-6.400138888886431,5325.SN2011fe.ascii,HST / STIS
6,-2.4098611111112405,5332.SN2011fe.ascii,HST / STIS
7,0.6102777777850861,5339.SN2011fe.ascii,HST / STIS
8,3.890138888884394,5349.SN2011fe.ascii,HST / STIS
9,9.84013888888876,5357.SN2011fe.ascii,HST / STIS
10,-9.536099537042901,104753.SN2011fe.ascii,UH88 / SNIFS
11,-8.531770833331393,104754.SN2011fe.ascii,UH88 / SNIFS
12,-7.539548611115606,104755.SN2011fe.ascii,UH88 / SNIFS
13,-6.521157407412829,104756.SN2011fe.ascii,UH88 / SNIFS
14,-5.540752314809652,104757.SN2011fe.ascii,UH88 / SNIFS
15,-4.542071759256942,104758.SN2011fe.ascii,UH88 / SNIFS
16,-0.5367476851824904,104759.SN2011fe.ascii,UH88 / SNIFS
17,0.4484837962882011,104760.SN2011fe.ascii,UH88 / SNIFS
18,1.447893518517958,104761.SN2011fe.ascii,UH88 / SNIFS
19,2.4472916666709352,104762.SN2011fe.ascii,UH88 / SNIFS
20,3.4446296296300716,104763.SN2011fe.ascii,UH88 / SNIFS
21,4.455127314817219,104764.SN2011fe.ascii,UH88 / SNIFS
22,7.448101851856336,104765.SN2011fe.ascii,UH88 / SNIFS
23,9.442777777781885,104766.SN2011fe.ascii,UH88 / SNIFS
24,12.435127314813144,104767.SN2011fe.ascii,UH88 / SNIFS
25,14.43881944444729,104768.SN2011fe.ascii,UH88 / SNIFS
26,17.431458333332557,104769.SN2011fe.ascii,UH88 / SNIFS
27,19.437071759261016,104770.SN2011fe.ascii,UH88 / SNIFS
28,-9.529999999998836,104876.SN2011fe.ascii,HST / STIS
29,-6.400000000001455,104877.SN2011fe.ascii,HST / STIS
30,-2.4099999999962165,104878.SN2011fe.ascii,HST / STIS
31,0.6100000000005821,104879.SN2011fe.ascii,HST / STIS
32,3.889999999999418,104880.SN2011fe.ascii,HST / STIS
33,9.840000000003783,104881.SN2011fe.ascii,HST / STIS
