,Phase,Ascii file,Tel
0,-9.606620370366727,28977.SN2012fr.ascii,SAAO / G-Spec
1,-9.115185185182781,28978.SN2012fr.ascii,ANU-2.3m / WiFeS
2,-8.911180555543979,28979.SN2012fr.ascii,ANU-2.3m / WiFeS
3,-8.033784722218115,28980.SN2012fr.ascii,ANU-2.3m / WiFeS
4,-7.876840277778683,28981.SN2012fr.ascii,ANU-2.3m / WiFeS
5,-8.55384259258426,28982.SN2012fr.ascii,SAAO / G-Spec
6,-7.1027662037013215,28983.SN2012fr.ascii,ANU-2.3m / WiFeS
7,-7.2561921296291985,28984.SN2012fr.ascii,Lick-3m / KAST
8,-7.531643518515921,28985.SN2012fr.ascii,SAAO / G-Spec
9,-5.986134259255778,28987.SN2012fr.ascii,ANU-2.3m / WiFeS
10,-6.225983796284709,28988.SN2012fr.ascii,Lick-3m / KAST
11,-6.37918981481198,28989.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
12,-5.218703703700157,28991.SN2012fr.ascii,Lick-3m / KAST
13,-4.264641203699284,28992.SN2012fr.ascii,Lick-3m / KAST
14,-4.325983796297805,28993.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
15,-4.3159027777655865,28994.SN2012fr.ascii,LCO-duPont / WFCCD
16,-3.2628819444435067,28996.SN2012fr.ascii,Lick-3m / KAST
17,-3.3560416666659876,28997.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
18,-3.3231597222184064,28998.SN2012fr.ascii,LCO-duPont / WFCCD
19,-2.0767824074137025,28999.SN2012fr.ascii,ANU-2.3m / WiFeS
20,-1.976215277783922,29000.SN2012fr.ascii,ANU-2.3m / WiFeS
21,-1.0278587962966412,29002.SN2012fr.ascii,ANU-2.3m / WiFeS
22,-0.8975925925842603,29003.SN2012fr.ascii,ANU-2.3m / WiFeS
23,-1.330879629625997,29004.SN2012fr.ascii,LCO-duPont / WFCCD
24,0.073310185194714,29005.SN2012fr.ascii,ANU-2.3m / WiFeS
25,-0.3303009259252576,29006.SN2012fr.ascii,LCO-duPont / WFCCD
26,1.140659722215787,29008.SN2012fr.ascii,ANU-2.3m / WiFeS
27,0.7806134259299142,29009.SN2012fr.ascii,Lick-3m / KAST
28,2.152592592596193,29010.SN2012fr.ascii,ANU-2.3m / WiFeS
29,1.6637268518461497,29011.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
30,1.6400810185150476,29012.SN2012fr.ascii,LCO-duPont / WFCCD
31,2.7229166666584206,29013.SN2012fr.ascii,Lick-3m / KAST
32,2.654571759259852,29014.SN2012fr.ascii,LCO-duPont / WFCCD
33,3.616111111114151,29016.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
34,3.647037037044356,29017.SN2012fr.ascii,LCO-duPont / WFCCD
35,4.9072800925860065,29019.SN2012fr.ascii,ANU-2.3m / WiFeS
36,5.855324074072996,29021.SN2012fr.ascii,ANU-2.3m / WiFeS
37,5.624594907414576,29022.SN2012fr.ascii,LCO-duPont / WFCCD
38,6.817395833328192,29023.SN2012fr.ascii,ANU-2.3m / WiFeS
39,6.6443750000034925,29024.SN2012fr.ascii,LCO-duPont / WFCCD
40,7.959027777782467,29026.SN2012fr.ascii,ANU-2.3m / WiFeS
41,7.564768518517667,29027.SN2012fr.ascii,LCO-duPont / WFCCD
42,8.881597222214623,29028.SN2012fr.ascii,ANU-2.3m / WiFeS
43,8.70208333334449,29029.SN2012fr.ascii,Lick-3m / KAST
44,8.558506944435067,29030.SN2012fr.ascii,LCO-duPont / WFCCD
45,10.076261574075033,29032.SN2012fr.ascii,ANU-2.3m / WiFeS
46,9.64383101851854,29033.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
47,9.535960648157925,29034.SN2012fr.ascii,LCO-duPont / WFCCD
48,11.654340277782467,29036.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
49,17.819907407414576,29039.SN2012fr.ascii,ANU-2.3m / WiFeS
50,18.487951388888177,29040.SN2012fr.ascii,Magellan-Baade / IMACS
51,-6.3792013888887595,29058.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
52,-4.325995370367309,29062.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
53,-3.3560532407427672,29066.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
54,1.6637268518461497,29068.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
55,3.616111111114151,29072.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
56,9.64383101851854,29074.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
57,11.654340277782467,29078.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
