,Phase,Ascii file,Tel
0,-2.7899999999935967,104895.SN2015F.ascii,HST / STIS
1,-14.44999999999709,SN2015F_20150311_merged.dat,merged
2,-14.44999999999709,SN2015F_20150311_wifes_merged.dat,wifes_merged
3,-13.44999999999709,SN2015F_20150312_merged.dat,merged
4,-12.44999999999709,SN2015F_20150313_merged.dat,merged
5,-11.44999999999709,SN2015F_20150314_redblu_lcogt.dat,redblu_lcogt
6,-7.44999999999709,SN2015F_20150318_merged.dat,merged
7,-6.44999999999709,SN2015F_20150319_redblu_lcogt1.dat,redblu_lcogt1
8,-6.44999999999709,SN2015F_20150319_redblu_lcogt2.dat,redblu_lcogt2
9,-5.44999999999709,SN2015F_20150320_merged.dat,merged
10,1.5500000000029104,SN2015F_20150327_merged.dat,merged
