,Phase,Ascii file,Tel
0,-9.520000000004076,3561.SN1999aa.ascii,NOT / ALFOSC
1,-5.0600000000049485,3562.SN1999aa.ascii,APO-3.5m / DIS
2,-1.5500000000029104,3563.SN1999aa.ascii,NOT / ALFOSC
3,0.8099999999976717,3564.SN1999aa.ascii,Lick-3m / KAST
4,14.729999999995925,3567.SN1999aa.ascii,APO-3.5m / DIS
5,20.470000000001164,3568.SN1999aa.ascii,NOT / ALFOSC
6,-0.16300000000046566,100233.SN1999aa.ascii,Lick-3m / KAST
7,16.875,100235.SN1999aa.ascii,Lick-3m / KAST
8,-9.069999999999707,101744.SN1999aa.ascii,FLWO-1.5m / FAST
9,-8.12000000000262,101745.SN1999aa.ascii,FLWO-1.5m / FAST
10,-7.1600000000034925,101746.SN1999aa.ascii,FLWO-1.5m / FAST
11,-6.139999999999418,101747.SN1999aa.ascii,FLWO-1.5m / FAST
12,-5.150000000001455,101748.SN1999aa.ascii,FLWO-1.5m / FAST
13,-4.1200000000026185,101749.SN1999aa.ascii,FLWO-1.5m / FAST
14,-3.1100000000005816,101750.SN1999aa.ascii,FLWO-1.5m / FAST
