,Phase,Ascii file,Tel
0,-9.287663590410377,22048.SN1999ee.ascii,CTIO-4m / RC-Spec-4
1,-7.287663590410376,22050.SN1999ee.ascii,ESO-NTT / EMMI
2,-2.287663590410375,22051.SN1999ee.ascii,LCO-duPont / WFCCD
3,-0.28766359041037504,22053.SN1999ee.ascii,ESO-NTT / EMMI
4,1.712336409589625,22055.SN1999ee.ascii,Danish-1.54m / DFOSC
5,6.712336409589624,22057.SN1999ee.ascii,Danish-1.54m / DFOSC
6,10.712336409589623,22060.SN1999ee.ascii,Danish-1.54m / DFOSC
7,15.712336409589625,22062.SN1999ee.ascii,ESO-NTT / EMMI
8,18.712336409589625,22063.SN1999ee.ascii,Danish-1.54m / DFOSC
9,17.851408168848142,100276.SN1999ee.ascii,Lick-3m / KAST
