,Phase,Ascii file,Tel
0,5.240000000005238,21322.SN2002bo.ascii,WHT-4.2m / ISIS
1,-1.532997685186274,21368.SN2002bo.ascii,Lick-3m / KAST
2,15.610995370370803,21369.SN2002bo.ascii,Lick-3m / KAST
3,-9.789999999993595,104539.SN2002bo.ascii,Ekar / AFOSC
4,-4.849999999998545,104540.SN2002bo.ascii,WHT-4.2m / ISIS
5,-3.759999999994761,104541.SN2002bo.ascii,Ekar / AFOSC
6,-4.680000000000291,104542.SN2002bo.ascii,Ekar / AFOSC
7,-2.7999999999956344,104543.SN2002bo.ascii,NOT / ALFOSC
8,-1.7399999999979627,104544.SN2002bo.ascii,NOT / ALFOSC
9,-1.8199999999997092,104545.SN2002bo.ascii,Ekar / AFOSC
10,-0.6199999999953434,104547.SN2002bo.ascii,Ekar / AFOSC
11,12.354878356483825,110033.SN2002bo.ascii,VLT-UT1 / FORS1
12,-1.637719398153422,110073.SN2002bo.ascii,VLT-UT1 / FORS1
13,-4.612627094902564,110078.SN2002bo.ascii,VLT-UT1 / FORS1
14,-7.5816280208237,110118.SN2002bo.ascii,VLT-UT1 / FORS1
15,9.396649340284057,110119.SN2002bo.ascii,VLT-UT1 / FORS1
