,Phase,Ascii file,Tel
0,-4.68200231481751,15344.SN2002er.ascii,Lick-3m / KAST
1,5.242002314815181,15345.SN2002er.ascii,Lick-3m / KAST
2,-4.6820000000006985,100516.SN2002er.ascii,Lick-3m / KAST
3,5.24199999999837,100517.SN2002er.ascii,Lick-3m / KAST
4,-9.040000000000873,104571.SN2002er.ascii,INT-2.5m / IDS
5,-8.060000000004948,104572.SN2002er.ascii,Ekar / AFOSC
6,-7.010000000002037,104573.SN2002er.ascii,INT-2.5m / IDS
7,-5.0200000000040745,104574.SN2002er.ascii,INT-2.5m / FOS
8,-4.0500000000029095,104575.SN2002er.ascii,CA-2.2m / CAFOS
9,-3.069999999999709,104576.SN2002er.ascii,CA-2.2m / CAFOS
10,-2.0800000000017462,104577.SN2002er.ascii,CA-2.2m / CAFOS
11,-1.0500000000029104,104578.SN2002er.ascii,CA-2.2m / CAFOS
12,2.9099999999962165,104581.SN2002er.ascii,CA-2.2m / CAFOS
13,3.909999999996217,104582.SN2002er.ascii,Ekar / AFOSC
14,4.9799999999959255,104583.SN2002er.ascii,CA-2.2m / CAFOS
15,10.12999999999738,104585.SN2002er.ascii,Danish-1.54m / DFOSC
16,11.970000000001164,104586.SN2002er.ascii,INT-2.5m / IDS
17,15.099999999998545,104587.SN2002er.ascii,Danish-1.54m / DFOSC
18,15.959999999999127,104588.SN2002er.ascii,INT-2.5m / IDS
19,19.119999999995343,104589.SN2002er.ascii,Danish-1.54m / DFOSC
