,Phase,Ascii file,Tel
0,-4.68200231481751,15344.SN2002er.ascii,Lick-3m / KAST
1,5.242002314815181,15345.SN2002er.ascii,Lick-3m / KAST
2,-4.6820000000006985,100516.SN2002er.ascii,Lick-3m / KAST
3,5.24199999999837,100517.SN2002er.ascii,Lick-3m / KAST
4,-7.010000000002037,104573.SN2002er.ascii,INT-2.5m / IDS
5,-5.0200000000040745,104574.SN2002er.ascii,INT-2.5m / FOS
6,-3.069999999999709,104576.SN2002er.ascii,CA-2.2m / CAFOS
7,-2.0800000000017462,104577.SN2002er.ascii,CA-2.2m / CAFOS
8,2.9099999999962165,104581.SN2002er.ascii,CA-2.2m / CAFOS
9,3.909999999996217,104582.SN2002er.ascii,Ekar / AFOSC
10,10.12999999999738,104585.SN2002er.ascii,Danish-1.54m / DFOSC
11,11.970000000001164,104586.SN2002er.ascii,INT-2.5m / IDS
12,15.099999999998545,104587.SN2002er.ascii,Danish-1.54m / DFOSC
13,15.959999999999127,104588.SN2002er.ascii,INT-2.5m / IDS
