,Phase,Ascii file,Tel
0,-8.059999999997673,104622.SN2003du.ascii,INT-2.5m / IDS
1,-7.1999999999970905,104623.SN2003du.ascii,HCT-2m / HFOSC
2,-6.040000000000872,104624.SN2003du.ascii,TNG / DOLORES
3,-4.209999999999127,104626.SN2003du.ascii,TNG / DOLORES
4,-2.1199999999953434,104628.SN2003du.ascii,Ekar / AFOSC
5,-1.2099999999991269,104629.SN2003du.ascii,Ekar / AFOSC
6,-0.20999999999912689,104630.SN2003du.ascii,Ekar / AFOSC
7,0.9500000000043656,104632.SN2003du.ascii,Ekar / AFOSC
8,2.9400000000023283,104635.SN2003du.ascii,Ekar / AFOSC
9,4.040000000000873,104636.SN2003du.ascii,CA-2.2m / CAFOS
10,7.010000000002037,104639.SN2003du.ascii,NOT / ALFOSC
11,7.989999999997963,104640.SN2003du.ascii,NOT / ALFOSC
12,7.900000000001455,104641.SN2003du.ascii,NOT / ALFOSC
13,8.880000000004658,104643.SN2003du.ascii,NOT / ALFOSC
14,12.80000000000291,104644.SN2003du.ascii,HCT-2m / HFOSC
15,16.950000000004366,104646.SN2003du.ascii,Ekar / AFOSC
16,18.790000000000877,104648.SN2003du.ascii,Ekar / AFOSC
17,20.919999999998254,104649.SN2003du.ascii,CA-2.2m / CAFOS
