,Phase,Ascii file,Tel
0,-9.630000000004657,21397.SN2004dt.ascii,CA-2.2m / CAFOS
1,-8.67000000000553,21399.SN2004dt.ascii,CA-2.2m / CAFOS
2,-6.6600000000034925,21401.SN2004dt.ascii,CA-2.2m / CAFOS
3,-6.610000000000582,21402.SN2004dt.ascii,NOT / ALFOSC
4,-6.590000000003784,21403.SN2004dt.ascii,TNG / DOLORES
5,-5.7300000000032005,21404.SN2004dt.ascii,CA-2.2m / CAFOS
6,-4.610000000000582,21405.SN2004dt.ascii,NOT / ALFOSC
7,-3.760000000002037,21406.SN2004dt.ascii,CA-2.2m / CAFOS
8,-3.12000000000262,21407.SN2004dt.ascii,ANU-2.3m / DBS
9,-2.0800000000017462,21408.SN2004dt.ascii,ANU-2.3m / DBS
10,-1.0699999999997092,21410.SN2004dt.ascii,ANU-2.3m / DBS
11,-0.7100000000064028,21411.SN2004dt.ascii,Ekar / AFOSC
12,2.2899999999935967,21412.SN2004dt.ascii,NOT / ALFOSC
13,14.279999999998836,21416.SN2004dt.ascii,NOT / ALFOSC
14,17.32999999999447,21417.SN2004dt.ascii,Other / Other
15,20.389999999999414,21419.SN2004dt.ascii,NOT / ALFOSC
