,Phase,Ascii file,Tel
0,-5.459999999999128,18925.SN2004eo.ascii,Lick-3m / KAST
1,-1.809999999997672,18926.SN2004eo.ascii,WHT-4.2m / ISIS
2,3.25,18927.SN2004eo.ascii,NOT / ALFOSC
3,8.160000000003492,18928.SN2004eo.ascii,CA-2.2m / CAFOS
4,12.150000000001455,18929.SN2004eo.ascii,CA-2.2m / CAFOS
5,13.590000000003785,18930.SN2004eo.ascii,Lick-3m / KAST
6,15.200000000004366,18931.SN2004eo.ascii,CA-2.2m / CAFOS
7,-5.4579999999987185,100701.SN2004eo.ascii,Lick-3m / KAST
8,13.600000000005819,100702.SN2004eo.ascii,Lick-3m / KAST
9,-9.597719085642892,110035.SN2004eo.ascii,VLT-UT1 / FORS1
