,Phase,Ascii file,Tel
0,5.0020023148099435,18709.SN2005am.ascii,Keck1 / LRIS
1,-3.0,102966.SN2005am.ascii,FLWO-1.5m / FAST
2,1.9499999999970896,102967.SN2005am.ascii,FLWO-1.5m / FAST
3,2.9499999999970896,102968.SN2005am.ascii,FLWO-1.5m / FAST
4,3.909999999996217,102969.SN2005am.ascii,FLWO-1.5m / FAST
5,4.930000000000291,102970.SN2005am.ascii,FLWO-1.5m / FAST
6,6.9099999999962165,102971.SN2005am.ascii,FLWO-1.5m / FAST
7,7.930000000000291,102972.SN2005am.ascii,FLWO-1.5m / FAST
8,9.919999999998254,102973.SN2005am.ascii,FLWO-1.5m / FAST
9,10.930000000000293,102974.SN2005am.ascii,FLWO-1.5m / FAST
10,14.899999999994181,102976.SN2005am.ascii,FLWO-1.5m / FAST
