,Phase,Ascii file,Tel
0,-9.299999999995633,6419.SN2005cf.ascii,Lick-3m / KAST
1,-8.0,6421.SN2005cf.ascii,Swift-UVOT / UV-grism
2,-8.299999999995633,6422.SN2005cf.ascii,Lick-3m / KAST
3,-7.2999999999956335,6425.SN2005cf.ascii,Lick-3m / KAST
4,-6.0,6427.SN2005cf.ascii,Swift-UVOT / UV-grism
5,-6.2999999999956335,6429.SN2005cf.ascii,Lick-3m / KAST
6,-3.1999999999970896,6431.SN2005cf.ascii,Swift-UVOT / UV-grism
7,-2.0,6433.SN2005cf.ascii,Swift-UVOT / UV-grism
8,-2.3999999999941792,6434.SN2005cf.ascii,Lick-3m / KAST
9,-1.0999999999985448,6435.SN2005cf.ascii,Swift-UVOT / UV-grism
10,-1.5,6436.SN2005cf.ascii,Lick-3m / KAST
11,1.6000000000058208,6439.SN2005cf.ascii,FLWO-1.5m / FAST
12,4.600000000005822,6442.SN2005cf.ascii,Swift-UVOT / UV-grism
13,18.5,6451.SN2005cf.ascii,Lick-3m / KAST
14,-9.409999999996217,103012.SN2005cf.ascii,FLWO-1.5m / FAST
15,-5.469999999993888,103013.SN2005cf.ascii,FLWO-1.5m / FAST
16,-4.4499999999970905,103014.SN2005cf.ascii,FLWO-1.5m / FAST
17,-3.430000000000291,103015.SN2005cf.ascii,FLWO-1.5m / FAST
18,-2.360000000000582,103016.SN2005cf.ascii,FLWO-1.5m / FAST
19,-1.3799999999973809,103017.SN2005cf.ascii,FLWO-1.5m / FAST
20,-0.33999999999650754,103018.SN2005cf.ascii,FLWO-1.5m / FAST
21,0.5900000000037835,103019.SN2005cf.ascii,FLWO-1.5m / FAST
22,2.540000000000873,103021.SN2005cf.ascii,FLWO-1.5m / FAST
23,3.4900000000052387,103022.SN2005cf.ascii,FLWO-1.5m / FAST
24,4.530000000006113,103023.SN2005cf.ascii,FLWO-1.5m / FAST
25,16.610000000000582,103024.SN2005cf.ascii,FLWO-1.5m / FAST
26,-9.8001,104674.SN2005cf.ascii,NOT / ALFOSC
27,-9.799999999995633,104675.SN2005cf.ascii,CA-3.5m / PMAS
28,-6.599999999998545,104676.SN2005cf.ascii,TNG / DOLORES
29,-5.5,104678.SN2005cf.ascii,ESO-NTT / EMMI
30,-3.7999999999956335,104679.SN2005cf.ascii,NOT / ALFOSC
31,-2.6999999999970896,104680.SN2005cf.ascii,NOT / ALFOSC
32,-1.1999999999970896,104681.SN2005cf.ascii,NOT / ALFOSC
33,-0.1999999999970896,104682.SN2005cf.ascii,SSO-2.3m / DBS
34,4.2000000000043665,104683.SN2005cf.ascii,CA-2.2m / CAFOS
35,4.5,104684.SN2005cf.ascii,ESO-NTT / EMMI
36,5.2000000000043665,104685.SN2005cf.ascii,CA-2.2m / CAFOS
37,6.2000000000043665,104686.SN2005cf.ascii,CA-2.2m / CAFOS
38,7.2000000000043665,104687.SN2005cf.ascii,CA-2.2m / CAFOS
39,9.5,104688.SN2005cf.ascii,ESO-NTT / EMMI
40,12.200000000004366,104689.SN2005cf.ascii,CA-2.2m / CAFOS
41,12.30000000000291,104690.SN2005cf.ascii,NOT / ALFOSC
42,14.200000000004366,104691.SN2005cf.ascii,CA-2.2m / CAFOS
43,16.200000000004366,104692.SN2005cf.ascii,CA-2.2m / CAFOS
44,-5.53413276620995,110117.SN2005cf.ascii,VLT-UT1 / FORS1
