,Phase,Ascii file,Tel
0,-9.299999999995633,6419.SN2005cf.ascii,Lick-3m / KAST
1,-8.299999999995633,6422.SN2005cf.ascii,Lick-3m / KAST
2,-7.2999999999956335,6425.SN2005cf.ascii,Lick-3m / KAST
3,-6.2999999999956335,6429.SN2005cf.ascii,Lick-3m / KAST
4,-2.3999999999941792,6434.SN2005cf.ascii,Lick-3m / KAST
5,-1.5,6436.SN2005cf.ascii,Lick-3m / KAST
6,1.6000000000058208,6439.SN2005cf.ascii,FLWO-1.5m / FAST
7,18.5,6451.SN2005cf.ascii,Lick-3m / KAST
8,-9.409999999996217,103012.SN2005cf.ascii,FLWO-1.5m / FAST
9,-5.469999999993888,103013.SN2005cf.ascii,FLWO-1.5m / FAST
10,-4.4499999999970905,103014.SN2005cf.ascii,FLWO-1.5m / FAST
11,-3.430000000000291,103015.SN2005cf.ascii,FLWO-1.5m / FAST
12,-2.360000000000582,103016.SN2005cf.ascii,FLWO-1.5m / FAST
13,-1.3799999999973809,103017.SN2005cf.ascii,FLWO-1.5m / FAST
14,-0.33999999999650754,103018.SN2005cf.ascii,FLWO-1.5m / FAST
15,0.5900000000037835,103019.SN2005cf.ascii,FLWO-1.5m / FAST
16,2.540000000000873,103021.SN2005cf.ascii,FLWO-1.5m / FAST
17,3.4900000000052387,103022.SN2005cf.ascii,FLWO-1.5m / FAST
18,4.530000000006113,103023.SN2005cf.ascii,FLWO-1.5m / FAST
19,16.610000000000582,103024.SN2005cf.ascii,FLWO-1.5m / FAST
20,-6.599999999998545,104676.SN2005cf.ascii,TNG / DOLORES
21,-5.5,104678.SN2005cf.ascii,ESO-NTT / EMMI
22,-3.7999999999956335,104679.SN2005cf.ascii,NOT / ALFOSC
23,-2.6999999999970896,104680.SN2005cf.ascii,NOT / ALFOSC
24,-1.1999999999970896,104681.SN2005cf.ascii,NOT / ALFOSC
25,-0.1999999999970896,104682.SN2005cf.ascii,SSO-2.3m / DBS
26,4.2000000000043665,104683.SN2005cf.ascii,CA-2.2m / CAFOS
27,4.5,104684.SN2005cf.ascii,ESO-NTT / EMMI
28,5.2000000000043665,104685.SN2005cf.ascii,CA-2.2m / CAFOS
29,6.2000000000043665,104686.SN2005cf.ascii,CA-2.2m / CAFOS
30,7.2000000000043665,104687.SN2005cf.ascii,CA-2.2m / CAFOS
31,9.5,104688.SN2005cf.ascii,ESO-NTT / EMMI
32,12.200000000004366,104689.SN2005cf.ascii,CA-2.2m / CAFOS
33,12.30000000000291,104690.SN2005cf.ascii,NOT / ALFOSC
34,14.200000000004366,104691.SN2005cf.ascii,CA-2.2m / CAFOS
35,-5.53413276620995,110117.SN2005cf.ascii,VLT-UT1 / FORS1
