,Phase,Ascii file,Tel
0,1.0999999999985448,14570.SN2006X.ascii,Lick-3m / KAST
1,2.313000000001921,100997.SN2006X.ascii,Lick-3m / KAST
2,1.3000000000029104,103378.SN2006X.ascii,FLWO-1.5m / FAST
3,2.310000000004948,103379.SN2006X.ascii,FLWO-1.5m / FAST
4,4.260000000002037,103380.SN2006X.ascii,FLWO-1.5m / FAST
5,5.260000000002037,103381.SN2006X.ascii,FLWO-1.5m / FAST
6,6.220000000001163,103382.SN2006X.ascii,FLWO-1.5m / FAST
7,7.340000000003783,103383.SN2006X.ascii,FLWO-1.5m / FAST
8,8.239999999997963,103384.SN2006X.ascii,FLWO-1.5m / FAST
9,10.37000000000262,103385.SN2006X.ascii,FLWO-1.5m / FAST
10,11.310000000004948,103386.SN2006X.ascii,FLWO-1.5m / FAST
11,13.360000000000582,103388.SN2006X.ascii,FLWO-1.5m / FAST
12,14.319999999999707,103389.SN2006X.ascii,FLWO-1.5m / FAST
13,-2.7528929050895385,110009.SN2006X.ascii,VLT-UT1 / FORS1
14,-3.7700823958293768,110020.SN2006X.ascii,VLT-UT1 / FORS1
15,-7.8922296643431755,110106.SN2006X.ascii,VLT-UT1 / FORS1
16,-1.7260263194330037,110128.SN2006X.ascii,VLT-UT1 / FORS1
17,-8.732743125001434,110132.SN2006X.ascii,VLT-UT1 / FORS1
18,-6.897911504624063,110168.SN2006X.ascii,VLT-UT1 / FORS1
