,Phase,Ascii file,Tel
0,12.0270023148114,24316.SN2006le.ascii,Lick-3m / KAST
1,-8.944000000003143,100966.SN2006le.ascii,Lick-3m / KAST
2,-8.970000000001164,103293.SN2006le.ascii,FLWO-1.5m / FAST
3,-6.970000000001163,103295.SN2006le.ascii,FLWO-1.5m / FAST
4,2.9899999999979627,103296.SN2006le.ascii,FLWO-1.5m / FAST
5,4.0,103297.SN2006le.ascii,FLWO-1.5m / FAST
6,5.9799999999959255,103298.SN2006le.ascii,FLWO-1.5m / FAST
7,7.040000000000872,103299.SN2006le.ascii,FLWO-1.5m / FAST
8,8.019999999996799,103300.SN2006le.ascii,FLWO-1.5m / FAST
9,9.040000000000873,103301.SN2006le.ascii,FLWO-1.5m / FAST
10,11.0,103302.SN2006le.ascii,FLWO-1.5m / FAST
11,12.970000000001164,103303.SN2006le.ascii,FLWO-1.5m / FAST
12,13.979999999995925,103304.SN2006le.ascii,FLWO-1.5m / FAST
13,14.959999999999127,103305.SN2006le.ascii,FLWO-1.5m / FAST
14,16.959999999999127,103306.SN2006le.ascii,FLWO-1.5m / FAST
