,Phase,Ascii file,Tel
0,-1.5550000000002908,23639.SN2007af.ascii,Lick-3m / KAST
1,3.53299768519355,23643.SN2007af.ascii,Keck1 / LRIS
2,-5.629999999997381,103408.SN2007af.ascii,FLWO-1.5m / FAST
3,-4.639999999999418,103409.SN2007af.ascii,FLWO-1.5m / FAST
4,-3.6500000000014547,103410.SN2007af.ascii,FLWO-1.5m / FAST
5,-2.6599999999962165,103411.SN2007af.ascii,FLWO-1.5m / FAST
6,-1.6500000000014552,103412.SN2007af.ascii,FLWO-1.5m / FAST
7,-0.6599999999962165,103413.SN2007af.ascii,FLWO-1.5m / FAST
8,0.2900000000008731,103414.SN2007af.ascii,FLWO-1.5m / FAST
9,2.319999999999709,103415.SN2007af.ascii,FLWO-1.5m / FAST
10,3.310000000004948,103416.SN2007af.ascii,FLWO-1.5m / FAST
11,4.319999999999709,103417.SN2007af.ascii,FLWO-1.5m / FAST
12,5.3800000000046575,103418.SN2007af.ascii,FLWO-1.5m / FAST
13,10.25,103419.SN2007af.ascii,FLWO-1.5m / FAST
14,11.290000000000873,103420.SN2007af.ascii,FLWO-1.5m / FAST
15,12.349999999998545,103421.SN2007af.ascii,FLWO-1.5m / FAST
16,-0.8000000001920853,104145.SN2007af.ascii,LCO-duPont / BC-duPont
17,4.150000000001455,104147.SN2007af.ascii,LCO-duPont / BC-duPont
18,11.170000000020082,104149.SN2007af.ascii,LCO-duPont / BC-duPont
