,Phase,Ascii file,Tel
0,-9.467002314813728,23075.SN2007le.ascii,Keck1 / LRIS
1,7.482002314820419,23076.SN2007le.ascii,Lick-3m / KAST
2,16.497997685190054,23077.SN2007le.ascii,Keck1 / LRIS
3,17.4870023148178,23078.SN2007le.ascii,Keck1 / LRIS
4,-7.469999999993888,103644.SN2007le.ascii,FLWO-1.5m / FAST
5,-6.489999999997963,103645.SN2007le.ascii,FLWO-1.5m / FAST
6,5.470000000001163,103646.SN2007le.ascii,FLWO-1.5m / FAST
7,8.470000000001164,103648.SN2007le.ascii,FLWO-1.5m / FAST
8,9.610000000000582,103649.SN2007le.ascii,FLWO-1.5m / FAST
9,10.460000000006405,103650.SN2007le.ascii,FLWO-1.5m / FAST
10,11.440000000002327,103651.SN2007le.ascii,FLWO-1.5m / FAST
11,12.460000000006405,103652.SN2007le.ascii,FLWO-1.5m / FAST
12,13.460000000006405,103653.SN2007le.ascii,FLWO-1.5m / FAST
13,14.4800000000032,103654.SN2007le.ascii,FLWO-1.5m / FAST
14,15.470000000001164,103655.SN2007le.ascii,FLWO-1.5m / FAST
15,17.5,103657.SN2007le.ascii,FLWO-1.5m / FAST
16,18.44000000000233,103658.SN2007le.ascii,FLWO-1.5m / FAST
17,19.480000000003198,103659.SN2007le.ascii,FLWO-1.5m / FAST
18,20.460000000006406,103660.SN2007le.ascii,FLWO-1.5m / FAST
19,-9.550000000082946,104195.SN2007le.ascii,LCO-duPont / BC-duPont
20,-4.619999999922584,104196.SN2007le.ascii,LCO-duPont / BC-duPont
