,Phase,Ascii file,Tel
0,-2.237000000000989,101271.SN2008Z.ascii,Lick-3m / KAST
1,-9.389999999999418,103800.SN2008Z.ascii,FLWO-1.5m / FAST
2,-8.369999999995342,103801.SN2008Z.ascii,FLWO-1.5m / FAST
3,-7.399999999994179,103802.SN2008Z.ascii,FLWO-1.5m / FAST
4,-6.3699999999953425,103803.SN2008Z.ascii,FLWO-1.5m / FAST
5,-5.3699999999953425,103804.SN2008Z.ascii,FLWO-1.5m / FAST
6,-4.360000000000582,103805.SN2008Z.ascii,FLWO-1.5m / FAST
7,7.740000000005238,103806.SN2008Z.ascii,FLWO-1.5m / FAST
8,10.580000000001746,103807.SN2008Z.ascii,FLWO-1.5m / FAST
9,17.569999999999713,103809.SN2008Z.ascii,FLWO-1.5m / FAST
