,Phase,Ascii file,Tel
0,-8.5,23242.SN2009dc.ascii,TNG / DOLORES
1,-7.5,23243.SN2009dc.ascii,NOT / ALFOSC
2,-6.5,23244.SN2009dc.ascii,NOT / ALFOSC
3,-2.5,23246.SN2009dc.ascii,NOT / ALFOSC
4,3.4999,23247.SN2009dc.ascii,TNG / DOLORES
5,3.5,23248.SN2009dc.ascii,CA-2.2m / CAFOS
6,5.5,23249.SN2009dc.ascii,CA-2.2m / CAFOS
7,7.5,23251.SN2009dc.ascii,TNG / DOLORES
8,8.5,23252.SN2009dc.ascii,CA-2.2m / CAFOS
9,10.5,23254.SN2009dc.ascii,NOT / ALFOSC
10,12.5,23255.SN2009dc.ascii,NOT / ALFOSC
11,13.5,23256.SN2009dc.ascii,NOT / ALFOSC
12,18.5,23257.SN2009dc.ascii,TNG / DOLORES
13,-6.019004629626579,23276.SN2009dc.ascii,Lick-3m / KAST
