,Phase,Ascii file,Tel
0,-6.650000000001455,5208.SN2011fe.ascii,P200 / DBSP
1,-7.879999999997381,5273.SN2011fe.ascii,WHT-4.2m / ISIS
2,-1.5499999999956344,5274.SN2011fe.ascii,Gemini-N / GMOS
3,2.4400000000023283,5276.SN2011fe.ascii,Gemini-N / GMOS
4,3.4899999999979627,5277.SN2011fe.ascii,Gemini-N / GMOS
5,-9.529999999998836,5321.SN2011fe.ascii,HST / STIS
6,-6.400138888886431,5325.SN2011fe.ascii,HST / STIS
7,-2.4098611111112405,5332.SN2011fe.ascii,HST / STIS
8,0.6102777777850861,5339.SN2011fe.ascii,HST / STIS
9,3.8901388888843935,5349.SN2011fe.ascii,HST / STIS
10,9.84013888888876,5357.SN2011fe.ascii,HST / STIS
