,Phase,Ascii file,Tel
0,-9.606620370366727,28977.SN2012fr.ascii,SAAO / G-Spec
1,-9.11518518518278,28978.SN2012fr.ascii,ANU-2.3m / WiFeS
2,-8.911180555543979,28979.SN2012fr.ascii,ANU-2.3m / WiFeS
3,-8.033784722218115,28980.SN2012fr.ascii,ANU-2.3m / WiFeS
4,-7.876840277778682,28981.SN2012fr.ascii,ANU-2.3m / WiFeS
5,-8.55384259258426,28982.SN2012fr.ascii,SAAO / G-Spec
6,-7.1027662037013215,28983.SN2012fr.ascii,ANU-2.3m / WiFeS
7,-7.2561921296291985,28984.SN2012fr.ascii,Lick-3m / KAST
8,-7.531643518515921,28985.SN2012fr.ascii,SAAO / G-Spec
9,-6.849999999998545,28986.SN2012fr.ascii,Lijiang-2.4m / YFOSC
10,-5.986134259255778,28987.SN2012fr.ascii,ANU-2.3m / WiFeS
11,-6.225983796284709,28988.SN2012fr.ascii,Lick-3m / KAST
12,-6.379189814811981,28989.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
13,-5.889999999999418,28990.SN2012fr.ascii,Lijiang-2.4m / YFOSC
14,-5.218703703700157,28991.SN2012fr.ascii,Lick-3m / KAST
15,-4.264641203699283,28992.SN2012fr.ascii,Lick-3m / KAST
16,-4.325983796297805,28993.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
17,-4.3159027777655865,28994.SN2012fr.ascii,LCO-duPont / WFCCD
18,-3.8799999999973807,28995.SN2012fr.ascii,Lijiang-2.4m / YFOSC
19,-3.2628819444435067,28996.SN2012fr.ascii,Lick-3m / KAST
20,-3.356041666665988,28997.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
21,-3.3231597222184064,28998.SN2012fr.ascii,LCO-duPont / WFCCD
22,-2.0767824074137025,28999.SN2012fr.ascii,ANU-2.3m / WiFeS
23,-1.976215277783922,29000.SN2012fr.ascii,ANU-2.3m / WiFeS
24,-1.8799999999973809,29001.SN2012fr.ascii,Lijiang-2.4m / YFOSC
25,-1.0278587962966412,29002.SN2012fr.ascii,ANU-2.3m / WiFeS
26,-0.8975925925842603,29003.SN2012fr.ascii,ANU-2.3m / WiFeS
27,-1.330879629625997,29004.SN2012fr.ascii,LCO-duPont / WFCCD
28,0.07331018519471401,29005.SN2012fr.ascii,ANU-2.3m / WiFeS
29,-0.3303009259252576,29006.SN2012fr.ascii,LCO-duPont / WFCCD
30,0.1300000000046566,29007.SN2012fr.ascii,Lijiang-2.4m / YFOSC
31,1.1406597222157873,29008.SN2012fr.ascii,ANU-2.3m / WiFeS
32,0.7806134259299142,29009.SN2012fr.ascii,Lick-3m / KAST
33,2.1525925925961933,29010.SN2012fr.ascii,ANU-2.3m / WiFeS
34,1.6637268518461497,29011.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
35,1.6400810185150476,29012.SN2012fr.ascii,LCO-duPont / WFCCD
36,2.654571759259852,29014.SN2012fr.ascii,LCO-duPont / WFCCD
37,3.1399999999994184,29015.SN2012fr.ascii,Lijiang-2.4m / YFOSC
38,3.6161111111141513,29016.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
39,3.6470370370443566,29017.SN2012fr.ascii,LCO-duPont / WFCCD
40,4.1200000000026185,29018.SN2012fr.ascii,Lijiang-2.4m / YFOSC
41,4.907280092586007,29019.SN2012fr.ascii,ANU-2.3m / WiFeS
42,5.855324074072996,29021.SN2012fr.ascii,ANU-2.3m / WiFeS
43,5.624594907414576,29022.SN2012fr.ascii,LCO-duPont / WFCCD
44,6.8173958333281925,29023.SN2012fr.ascii,ANU-2.3m / WiFeS
45,6.6443750000034925,29024.SN2012fr.ascii,LCO-duPont / WFCCD
46,7.139999999999418,29025.SN2012fr.ascii,Lijiang-2.4m / YFOSC
47,7.959027777782468,29026.SN2012fr.ascii,ANU-2.3m / WiFeS
48,7.564768518517668,29027.SN2012fr.ascii,LCO-duPont / WFCCD
49,8.881597222214623,29028.SN2012fr.ascii,ANU-2.3m / WiFeS
50,8.70208333334449,29029.SN2012fr.ascii,Lick-3m / KAST
51,8.558506944435067,29030.SN2012fr.ascii,LCO-duPont / WFCCD
52,9.12000000000262,29031.SN2012fr.ascii,Lijiang-2.4m / YFOSC
53,10.076261574075033,29032.SN2012fr.ascii,ANU-2.3m / WiFeS
54,9.643831018518538,29033.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
55,9.535960648157925,29034.SN2012fr.ascii,LCO-duPont / WFCCD
56,11.080000000001744,29035.SN2012fr.ascii,Lijiang-2.4m / YFOSC
57,11.654340277782467,29036.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
58,13.099999999998545,29037.SN2012fr.ascii,Lijiang-2.4m / YFOSC
59,17.069999999999713,29038.SN2012fr.ascii,Lijiang-2.4m / YFOSC
60,17.819907407414576,29039.SN2012fr.ascii,ANU-2.3m / WiFeS
61,18.487951388888174,29040.SN2012fr.ascii,Magellan-Baade / IMACS
