,Phase,Ascii file,Tel
0,-9.606620370366727,28977.SN2012fr.ascii,SAAO / G-Spec
1,-8.911180555543979,28979.SN2012fr.ascii,ANU-2.3m / WiFeS
2,-8.033784722218115,28980.SN2012fr.ascii,ANU-2.3m / WiFeS
3,-7.876840277778682,28981.SN2012fr.ascii,ANU-2.3m / WiFeS
4,-7.2561921296291985,28984.SN2012fr.ascii,Lick-3m / KAST
5,-6.225983796284709,28988.SN2012fr.ascii,Lick-3m / KAST
6,-6.379189814811981,28989.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
7,-5.889999999999418,28990.SN2012fr.ascii,Lijiang-2.4m / YFOSC
8,-5.218703703700157,28991.SN2012fr.ascii,Lick-3m / KAST
9,-4.264641203699283,28992.SN2012fr.ascii,Lick-3m / KAST
10,-4.325983796297805,28993.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
11,-4.3159027777655865,28994.SN2012fr.ascii,LCO-duPont / WFCCD
12,-3.2628819444435067,28996.SN2012fr.ascii,Lick-3m / KAST
13,-3.356041666665988,28997.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
14,-3.3231597222184064,28998.SN2012fr.ascii,LCO-duPont / WFCCD
15,-2.0767824074137025,28999.SN2012fr.ascii,ANU-2.3m / WiFeS
16,-1.976215277783922,29000.SN2012fr.ascii,ANU-2.3m / WiFeS
17,-1.0278587962966412,29002.SN2012fr.ascii,ANU-2.3m / WiFeS
18,-1.330879629625997,29004.SN2012fr.ascii,LCO-duPont / WFCCD
19,0.07331018519471401,29005.SN2012fr.ascii,ANU-2.3m / WiFeS
20,-0.3303009259252576,29006.SN2012fr.ascii,LCO-duPont / WFCCD
21,1.1406597222157873,29008.SN2012fr.ascii,ANU-2.3m / WiFeS
22,0.7806134259299142,29009.SN2012fr.ascii,Lick-3m / KAST
23,2.1525925925961933,29010.SN2012fr.ascii,ANU-2.3m / WiFeS
24,1.6637268518461497,29011.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
25,1.6400810185150476,29012.SN2012fr.ascii,LCO-duPont / WFCCD
26,3.6161111111141513,29016.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
27,3.6470370370443566,29017.SN2012fr.ascii,LCO-duPont / WFCCD
28,4.907280092586007,29019.SN2012fr.ascii,ANU-2.3m / WiFeS
29,5.855324074072996,29021.SN2012fr.ascii,ANU-2.3m / WiFeS
30,5.624594907414576,29022.SN2012fr.ascii,LCO-duPont / WFCCD
31,6.8173958333281925,29023.SN2012fr.ascii,ANU-2.3m / WiFeS
32,6.6443750000034925,29024.SN2012fr.ascii,LCO-duPont / WFCCD
33,7.139999999999418,29025.SN2012fr.ascii,Lijiang-2.4m / YFOSC
34,7.959027777782468,29026.SN2012fr.ascii,ANU-2.3m / WiFeS
35,7.564768518517668,29027.SN2012fr.ascii,LCO-duPont / WFCCD
36,8.881597222214623,29028.SN2012fr.ascii,ANU-2.3m / WiFeS
37,8.70208333334449,29029.SN2012fr.ascii,Lick-3m / KAST
38,8.558506944435067,29030.SN2012fr.ascii,LCO-duPont / WFCCD
39,10.076261574075033,29032.SN2012fr.ascii,ANU-2.3m / WiFeS
40,9.643831018518538,29033.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
41,9.535960648157925,29034.SN2012fr.ascii,LCO-duPont / WFCCD
42,11.080000000001744,29035.SN2012fr.ascii,Lijiang-2.4m / YFOSC
43,11.654340277782467,29036.SN2012fr.ascii,ESO-NTT / EFOSC2-NTT
44,18.487951388888174,29040.SN2012fr.ascii,Magellan-Baade / IMACS
