,Phase,Ascii file,Tel
0,-9.525000000001457,674.SN2013dy.ascii,FTN / FLOYDS-N
1,-7.525000000001455,676.SN2013dy.ascii,FTN / FLOYDS-N
2,-0.39500000000407454,686.SN2013dy.ascii,Lijiang-2.4m / YFOSC
3,3.6149999999979623,691.SN2013dy.ascii,Lijiang-2.4m / YFOSC
4,5.5349999999962165,699.SN2013dy.ascii,Lijiang-2.4m / YFOSC
5,6.524999999994179,700.SN2013dy.ascii,Lijiang-2.4m / YFOSC
6,7.3029976851903475,702.SN2013dy.ascii,Lick-3m / KAST
7,11.300995370365856,706.SN2013dy.ascii,Lick-3m / KAST
8,12.494999999995347,709.SN2013dy.ascii,XLT / BFOSC
9,15.300995370365856,713.SN2013dy.ascii,Lick-3m / KAST
10,16.674999999995634,716.SN2013dy.ascii,Lijiang-2.4m / YFOSC
11,20.604999999995925,721.SN2013dy.ascii,Lijiang-2.4m / YFOSC
12,-6.625,104885.SN2013dy.ascii,HST / STIS
13,20.805000000000287,104886.SN2013dy.ascii,HST / STIS
14,-2.5050000000046566,104887.SN2013dy.ascii,HST / STIS
15,-0.7850000000034925,104888.SN2013dy.ascii,HST / STIS
16,1.2049999999944705,104889.SN2013dy.ascii,HST / STIS
17,4.464999999996508,104890.SN2013dy.ascii,HST / STIS
18,8.384999999994761,104891.SN2013dy.ascii,HST / STIS
19,11.984999999993304,104892.SN2013dy.ascii,HST / STIS
20,14.034999999996215,104893.SN2013dy.ascii,HST / STIS
