,Phase,Ascii file,Tel
0,-9.525000000001457,674.SN2013dy.ascii,FTN / FLOYDS-N
1,-7.525000000001455,676.SN2013dy.ascii,FTN / FLOYDS-N
2,7.3029976851903475,702.SN2013dy.ascii,Lick-3m / KAST
3,11.300995370365856,706.SN2013dy.ascii,Lick-3m / KAST
4,15.300995370365856,713.SN2013dy.ascii,Lick-3m / KAST
5,-6.625,104885.SN2013dy.ascii,HST / STIS
6,20.805000000000287,104886.SN2013dy.ascii,HST / STIS
7,-2.5050000000046566,104887.SN2013dy.ascii,HST / STIS
8,-0.7850000000034925,104888.SN2013dy.ascii,HST / STIS
9,1.2049999999944705,104889.SN2013dy.ascii,HST / STIS
10,4.464999999996508,104890.SN2013dy.ascii,HST / STIS
11,8.384999999994761,104891.SN2013dy.ascii,HST / STIS
12,11.984999999993304,104892.SN2013dy.ascii,HST / STIS
13,14.034999999996215,104893.SN2013dy.ascii,HST / STIS
