,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
0,SN2000cw,0.0301,1.22,0.04,Ia-norm,0.0613,0.0,0.0613,1.3,1.1,0.057847327334285326,0.11,Jiawen,,,,,0.0720212310552597,-0.02779651087917756,0.11
1,SN2006gr,0.034597,0.81,0.07,Ia-norm,0.0727,0.265,0.0,1.2,0.7,0.1226369433043249,0.06,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.08510959893465042,0.06915733868040519,0.06
2,SN1999dq,0.014327,0.86,0.04,Ia-99aa-like,0.0936,0.29,0.0,1.0,1.3,0.1457858565337073,0.11,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.10911283642053604,0.10903584823073942,0.11
3,SN2004gs,0.027425,1.41,0.11,Ia-norm,0.0257,0.0,0.0257,1.0,1.2,0.2384152209525014,0.223,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.189,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,0.030787341296672818,0.134034204734661,0.223
4,SN2001cp,0.022402,0.88,0.03,Ia-norm,0.1332,0.0,0.1332,0.9,1.5,0.05900314951428781,0.05,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.15656359493732452,0.06717920607980332,0.05
5,SN2008bq,0.034007,1.001306446,0.07400000000000001,Ia-norm,0.0774,0.0,0.0774,1.9,0.7,0.17641902632292233,0.136,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.09042380005121232,0.10785337943183038,0.136
6,SN2005A,0.0191,1.11,0.05,Ia-norm,0.0259,0.0,0.0259,1.5,1.1,,1.129,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,1.04,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.03019067086279392,,1.129
7,SN1998dh,0.008969,1.17,0.06,Ia-norm,0.058,0.218,0.0,1.3,1.1,0.3484868666531673,0.12,Jiawen,,,,,0.0673028975725174,0.2555033706555605,0.12
8,SN2006qo,0.030455,0.997807701,0.07,Ia-norm,0.0324,0.0,0.0324,,,,,,,,,,0.03946029394865036,,0.0
9,SN2006N,0.014277,1.5,0.03,Ia-norm,0.0826,0.18,0.0,1.5,1.0,0.11399772858311845,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.09600968658924104,0.09242350384842268,0.0
10,SN2001en,0.015871,1.12,0.07,Ia-norm,0.0464,0.14,0.0,,,0.20277213801137844,,,,,,,0.053937695920467384,0.09517655569856487,0.20277213801137844
11,SN2001cj,0.024233,0.96,0.03,Ia-norm,0.012,0.0,0.012,1.1,1.1,0.0803761142574565,,,,,,,0.014069546945393084,-0.06184193541028904,0.0803761142574565
12,SN2007cq,0.0262,1.2,0.06,Ia-norm,0.0922,0.1,0.0,1.1,1.1,0.20978635638241322,0.051,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.10871991515159607,0.15962773692095666,0.051
13,SN2006gj,0.028293,1.48,0.05,Ia-norm,0.0705,0.0,0.0705,1.9,0.7,0.3461929882480916,0.246,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.33,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.08425381034612656,0.3085703158716022,0.33
14,SN1999ee,0.011415,0.958118821,0.07,Ia-91T,0.0172,0.0,0.0172,1.9,0.7,0.1457619748361163,0.384,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.31,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.02006444521248341,0.00968420119130542,0.31
15,SN1980N,0.005871,1.131570526,0.07400000000000001,Ia-norm,0.018000000000000002,0.0,0.018000000000000002,,,,,,,,,,0.02089267037808895,,0.0
16,SN2007ap,0.015818000000000002,1.37,0.09,Ia-norm,0.0276,0.0,0.0276,1.2,1.1,0.12330725299072892,,,,,,,0.032576218247413635,0.014329460699968877,0.12330725299072892
17,SN1997E,0.013539,1.4,0.04,Ia-norm,0.1101,0.2,0.0,,,0.10641423477115458,,,,,,,0.1273932009935379,0.09696018660965322,0.10641423477115458
18,SN2006nz,0.044351,1.7723828430000002,0.07,Ia-norm,0.0345,0.0,0.0345,,,0.0,,,,,,,0.039920967072248466,0.7952136104401895,0.0
19,SN2006D,0.0086,1.35,0.05,Ia-norm,0.0394,0.0,0.0394,0.4,1.8,0.09638544340487437,0.062,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.134,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.04569796472787857,-0.0023335189627822217,0.062
20,SN2003ch,0.02862,1.22,0.07,Ia-norm,0.0609,0.16,0.0,1.1,1.2,0.12240006832605366,,,,,,,0.07017618417739868,0.03491118323472975,0.12240006832605366
21,SN1998bp,0.010431,1.79,0.05,Ia-91bg,0.0667,0.087,0.0,1.1,1.7,,,,,,,,0.07806684821844101,,0.0
22,SN1998ec,0.0199,1.08,0.09,Ia-norm,0.07200000000000001,0.0,0.07200000000000001,1.2,1.1,0.2841020799650098,,,,,,,0.08450161665678024,0.20706247709212988,0.2841020799650098
23,SN2001ba,0.029557,1.033528737,0.07,Ia-norm,0.0537,0.0,0.0537,1.1,0.9,,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.06383480876684189,,0.0
24,SN2007bc,0.0208,1.37,0.05,Ia-norm,0.0186,0.0,0.0186,1.3,1.1,0.0727970128222864,0.039,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.207,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.021650958806276318,-0.04710603890961096,0.039
25,SN2012dn,0.010187,1.08,0.0,Ia-supCh,0.0519,0.0,0.0519,0.3,0.9,,0.12,https://academic.oup.com/mnras/article/443/2/1663/2908019,,,,,0.06072475761175156,,0.12
26,SN2001el,0.003896,1.051452536,0.07400000000000001,Ia-norm,0.0121,0.0,0.0121,1.2,1.1,0.2407267781246557,0.277,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.014207784086465837,0.09392556102561045,0.277
27,SN1995al,0.00514,0.87,0.04,Ia-norm,0.0117,0.0,0.0117,0.9,1.3,0.24352863340758102,,,,,,,0.013506132178008556,0.10988209062113086,0.24352863340758102
28,SN2006lu,0.0481889,1.045460582,0.07400000000000001,Ia-norm,0.0986,0.18,0.0,0.3,0.5,,0.028,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.1154208406805992,,0.028
29,SN1997bq,0.009346,1.14,0.06,Ia-norm,0.0231,0.0,0.0231,1.3,1.1,0.3111364762116895,,,,,,,0.025019939988851547,0.1749569619431135,0.3111364762116895
30,SN2000cn,0.023493,1.51,0.08,Ia-norm,0.048,0.18,0.0,0.5,1.3,0.05673400751924478,0.17,Jiawen,,,,,0.05700748041272164,-0.0016136537528588235,0.17
31,SN2002kf,0.0193,1.2,0.07,Ia-norm,0.0994,0.136,0.0,,,0.1390698187926494,0.117,https://academic.oup.com/mnras/article/425/3/1789/979673,,,,,0.11659286916255952,0.09678415334215629,0.117
32,SN2005hc,0.04594,1.03,0.04,Ia-norm,0.028,0.04,0.0,1.2,1.1,,0.095,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.049,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.03272206336259842,,0.095
33,SN2001da,0.017195,1.12,0.03,Ia-norm,0.05,0.2,0.0,1.1,1.1,0.2666265343455289,,,,,,,0.05802081152796745,0.1631140676402154,0.2666265343455289
34,SN2007bd,0.030908,1.3,0.08,Ia-norm,0.0289,0.08,0.0,1.9,0.5,0.23322917374763352,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.058,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.033970531076192856,0.11658770070491542,0.058
35,SN1995ac,0.050055,0.77,0.04,Ia-91T,0.0365,0.0,0.0365,1.4,0.6,,,,,,,,0.04241494461894035,,0.0
36,SN2006cc,0.032529,0.97,0.03,Ia-norm,0.0115,0.0,0.0115,0.7,1.3,0.3585330446997784,0.44,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.014580915682017803,0.21608621799163785,0.44
37,SN1991S,0.054453,1.031571688,0.07400000000000001,Ia-norm,0.0229,0.0,0.0229,0.8,0.2,0.23374747826491354,,,,,,,0.026989739388227463,0.10036350168685715,0.23374747826491354
38,SN2007if,0.0742,0.71,0.06,Ia-norm,0.0715,0.0,0.0715,1.3,1.0,0.013096489919450616,0.0,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.08258921653032303,-0.024233908337134125,0.0
39,SN1996C,0.027000000000000003,0.93,0.06,Ia-norm,0.0115,0.0,0.0115,0.7,1.3,,,,,,,,0.01404274720698595,,0.0
40,SN2010ev,0.0092,1.12,0.0,Ia-norm,0.0892,0.0,0.0892,1.2,1.1,0.3503565225166578,0.32,https://www.aanda.org/articles/aa/pdf/2016/06/aa27228-15.pdf,0.28,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.1037026196718216,0.2925258639551984,0.32
41,SN1994S,0.015177,0.94,0.06,Ia-norm,0.0182,0.2,0.0,1.1,1.2,0.145021223379384,,,,,,,0.02102755382657051,0.01140638196600463,0.145021223379384
42,SN1997cn,0.016194999999999998,1.9,0.05,Ia-91bg,0.0229,0.037000000000000005,0.0,1.6,0.9,,0.0,https://arxiv.org/pdf/astro-ph/9808013.pdf,,,,,0.02675123512744904,,0.0
43,SN2015F,0.00489,1.26,0.1,Ia-norm,0.1749,0.04,0.179,1.9,1.7,0.06598325997131246,0.035,https://academic.oup.com/mnras/article/464/4/4476/2417406,,,,,0.20320390164852145,0.11460877843715878,0.035
44,SN2006bq,0.021905,1.29,0.06,Ia-norm,0.0507,0.18,0.0,1.1,1.1,0.20761046895159663,,,,,,,0.059152856469154365,0.11507725406484681,0.20761046895159663
45,SN2012cg,0.00146,1.039,0.0,Ia-norm,0.0179,0.18,0.018000000000000002,,,0.27281937336996975,0.18,https://arxiv.org/pdf/1507.07261.pdf,,,,,0.02066553570330143,0.132848398763457,0.18
