,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope
0,0,SN2000cw,0.0301,1.22,0.04,Ia-norm,0.0613,0.0,0.0613,1.3,1.1
1,1,SN2006gr,0.034597,0.81,0.07,Ia-norm,0.0727,0.265,0.0,1.2,0.7
2,2,SN1999dq,0.014327000000000001,0.86,0.04,Ia-99aa-like,0.0936,0.29,0.0,1.0,1.3
3,3,SN2004gs,0.027425,1.41,0.11,Ia-norm,0.0257,0.0,0.0257,1.0,1.2
4,4,SN2001cp,0.022402000000000002,0.88,0.03,Ia-norm,0.1332,0.0,0.1332,0.9,1.5
5,5,SN2008bq,0.034007,1.001306446012835,0.07400000000000001,Ia-norm,0.0774,0.0,0.0774,1.9,0.7
6,6,SN2005A,0.0191,1.11,0.05,Ia-norm,0.0259,0.0,0.0259,1.5,1.1
7,7,SN1998dh,0.008969,1.17,0.06,Ia-norm,0.057999999999999996,0.218,0.0,1.3,1.1
8,8,SN2006qo,0.030455,0.9978077007449732,0.07,Ia-norm,0.0324,0.0,0.0324,,
9,9,SN2006N,0.014277000000000001,1.5,0.03,Ia-norm,0.0826,0.18,0.0,1.5,1.0
10,10,SN2001en,0.015871,1.12,0.07,Ia-norm,0.0464,0.14,0.0,,
11,11,SN2001cj,0.024233,0.96,0.03,Ia-norm,0.012,0.0,0.012,1.1,1.1
12,12,SN2007cq,0.0262,1.2,0.06,Ia-norm,0.0922,0.1,0.0,1.1,1.1
13,13,SN2006gj,0.028293000000000002,1.48,0.05,Ia-norm,0.0705,0.0,0.0705,1.9,0.7
14,14,SN1999ee,0.011415,0.9581188205116348,0.07,Ia-91T,0.0172,0.0,0.0172,1.9,0.7
15,15,SN1980N,0.005871,1.1315705260557458,0.07400000000000001,Ia-norm,0.018000000000000002,0.0,0.018000000000000002,,
16,16,SN2007ap,0.015818000000000002,1.37,0.09,Ia-norm,0.0276,0.0,0.0276,1.2,1.1
17,17,SN1997E,0.013538999999999999,1.4,0.04,Ia-norm,0.1101,0.2,0.0,,
18,18,SN2006nz,0.044351,1.7723828425111334,0.07,Ia-norm,0.0345,0.0,0.0345,,
