,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
0,0,SN2000cw,0.0301,1.22,0.04,Ia-norm,0.0613,0.0,0.0613,1.5,1.0,0.0578473273342853,0.11,Jiawen,,,,,0.0720212310552597,-0.0277965108791775,0.11
1,1,SN2006gr,0.034597,0.81,0.07,Ia-norm,0.0727,0.265,0.0,1.4,0.8,0.1226369433043249,0.06,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.0851095989346504,0.0691573386804051,0.06
2,2,SN1999dq,0.014327,0.86,0.04,Ia-99aa-like,0.0936,0.29,0.0,1.2,1.2,0.1457858565337073,0.11,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.109112836420536,0.1090358482307394,0.11
3,3,SN2004gs,0.027425,1.41,0.11,Ia-norm,0.0257,0.0,0.0257,1.6,0.9,0.2384152209525014,0.223,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.189,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,0.0307873412966728,0.134034204734661,0.223
4,4,SN2001cp,0.022402,0.88,0.03,Ia-norm,0.1332,0.0,0.1332,0.8,1.6,0.0590031495142878,0.05,http://researchonline.ljmu.ac.uk/id/eprint/5454/1/2017ashallphd.pdf,,,,,0.1565635949373245,0.0671792060798033,0.05
5,5,SN2008bq,0.034007,1.001306446,0.074,Ia-norm,0.0774,0.0,0.0774,1.1,1.1,0.1764190263229223,0.136,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.0904238000512123,0.1078533794318303,0.136
6,6,SN2005A,0.0191,1.11,0.05,Ia-norm,0.0259,0.0,0.0259,,,,1.129,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,1.04,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.0301906708627939,,1.129
7,7,SN1998dh,0.008969,1.17,0.06,Ia-norm,0.058,0.218,0.0,1.3,1.1,0.3484868666531673,0.12,Jiawen,,,,,0.0673028975725174,0.2555033706555605,0.12
8,8,SN2006qo,0.030455,0.997807701,0.07,Ia-norm,0.0324,0.0,0.0324,,,,,,,,,,0.0394602939486503,,0.0
9,9,SN2006N,0.014277,1.5,0.03,Ia-norm,0.0826,0.18,0.0,1.4,1.0,0.1139977285831184,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.096009686589241,0.0924235038484226,0.0
10,10,SN2001en,0.015871,1.12,0.07,Ia-norm,0.0464,0.14,0.0,1.1,1.1,0.2027721380113784,,,,,,,0.0539376959204673,0.0951765556985648,0.2027721380113784
11,11,SN2001cj,0.024233,0.96,0.03,Ia-norm,0.012,0.0,0.012,1.1,1.1,0.0803761142574565,,,,,,,0.014069546945393,-0.061841935410289,0.0803761142574565
12,12,SN2007cq,0.0262,1.2,0.06,Ia-norm,0.0922,0.1,0.0,1.1,1.1,0.2097863563824132,0.051,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.108719915151596,0.1596277369209566,0.051
13,13,SN2006gj,0.028293,1.48,0.05,Ia-norm,0.0705,0.0,0.0705,1.8,0.9,0.3461929882480916,0.246,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.33,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.0842538103461265,0.3085703158716022,0.33
14,14,SN1999ee,0.011415,0.958118821,0.07,Ia-91T,0.0172,0.0,0.0172,0.9,1.1,0.1457619748361163,0.384,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.31,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.0200644452124834,0.0096842011913054,0.31
15,15,SN1980N,0.005871,1.131570526,0.074,Ia-norm,0.018,0.0,0.018,,,,,,,,,,0.0208926703780889,,0.0
16,16,SN2007ap,0.015818,1.37,0.09,Ia-norm,0.0276,0.0,0.0276,1.2,1.1,0.1233072529907289,,,,,,,0.0325762182474136,0.0143294606999688,0.1233072529907289
17,17,SN1997E,0.013539,1.4,0.04,Ia-norm,0.1101,0.2,0.0,,,0.1064142347711545,,,,,,,0.1273932009935379,0.0969601866096532,0.1064142347711545
18,18,SN2006nz,0.044351,1.7723828430000002,0.07,Ia-norm,0.0345,0.0,0.0345,,,0.0,,,,,,,0.0399209670722484,0.7952136104401895,0.0
19,19,SN2006D,0.0086,1.35,0.05,Ia-norm,0.0394,0.0,0.0394,1.3,1.1,0.0963854434048743,0.062,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.134,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.0456979647278785,-0.0023335189627822,0.062
20,20,SN2003ch,0.02862,1.22,0.07,Ia-norm,0.0609,0.16,0.0,1.3,1.0,0.1224000683260536,,,,,,,0.0701761841773986,0.0349111832347297,0.1224000683260536
21,21,SN1998bp,0.010431,1.79,0.05,Ia-91bg,0.0667,0.087,0.0,,,,,,,,,,0.078066848218441,,0.0
22,22,SN1998ec,0.0199,1.08,0.09,Ia-norm,0.072,0.0,0.072,1.1,1.1,0.2841020799650098,,,,,,,0.0845016166567802,0.2070624770921298,0.2841020799650098
23,23,SN2001ba,0.029557,1.033528737,0.07,Ia-norm,0.0537,0.0,0.0537,,,,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0638348087668418,,0.0
24,24,SN2007bc,0.0208,1.37,0.05,Ia-norm,0.0186,0.0,0.0186,1.3,1.1,0.0727970128222864,0.039,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.207,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.0216509588062763,-0.0471060389096109,0.039
25,25,SN2012dn,0.010187,1.08,0.0,Ia-supCh,0.0519,0.0,0.0519,0.2,0.7,,0.12,https://academic.oup.com/mnras/article/443/2/1663/2908019,,,,,0.0607247576117515,,0.12
26,26,SN2001el,0.003896,1.051452536,0.074,Ia-norm,0.0121,0.0,0.0121,1.2,1.1,0.2407267781246557,0.277,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.0142077840864658,0.0939255610256104,0.277
27,27,SN1995al,0.00514,0.87,0.04,Ia-norm,0.0117,0.0,0.0117,1.3,1.1,0.243528633407581,,,,,,,0.0135061321780085,0.1098820906211308,0.243528633407581
28,28,SN2006lu,0.0481889,1.045460582,0.074,Ia-norm,0.0986,0.18,0.0,,,,0.028,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.1154208406805992,,0.028
29,29,SN1997bq,0.009346,1.14,0.06,Ia-norm,0.0231,0.0,0.0231,1.2,1.1,0.3111364762116895,,,,,,,0.0250199399888515,0.1749569619431135,0.3111364762116895
30,30,SN2000cn,0.023493,1.51,0.08,Ia-norm,0.048,0.18,0.0,0.5,1.3,0.0567340075192447,0.17,Jiawen,,,,,0.0570074804127216,-0.0016136537528588,0.17
31,31,SN2002kf,0.0193,1.2,0.07,Ia-norm,0.0994,0.136,0.0,1.3,0.9,0.1390698187926494,0.117,https://academic.oup.com/mnras/article/425/3/1789/979673,,,,,0.1165928691625595,0.0967841533421562,0.117
32,32,SN2005hc,0.04594,1.03,0.04,Ia-norm,0.028,0.04,0.0,,,,0.095,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.049,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.0327220633625984,,0.095
33,33,SN2001da,0.017195,1.12,0.03,Ia-norm,0.05,0.2,0.0,1.2,1.1,0.2666265343455289,,,,,,,0.0580208115279674,0.1631140676402154,0.2666265343455289
34,34,SN2007bd,0.030908,1.3,0.08,Ia-norm,0.0289,0.08,0.0,1.1,1.3,0.2332291737476335,0.0,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.058,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.0339705310761928,0.1165877007049154,0.058
35,35,SN1995ac,0.050055,0.77,0.04,Ia-91T,0.0365,0.0,0.0365,,,,,,,,,,0.0424149446189403,,0.0
36,36,SN2006cc,0.032529,0.97,0.03,Ia-norm,0.0115,0.0,0.0115,1.2,1.1,0.3585330446997784,0.44,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.0145809156820178,0.2160862179916378,0.44
37,37,SN1991S,0.054453,1.031571688,0.074,Ia-norm,0.0229,0.0,0.0229,1.0,1.2,0.2337474782649135,,,,,,,0.0269897393882274,0.1003635016868571,0.2337474782649135
38,38,SN2007if,0.0742,0.71,0.06,Ia-norm,0.0715,0.0,0.0715,1.8,0.8,0.0130964899194506,0.0,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.082589216530323,-0.0242339083371341,0.0
39,39,SN1996C,0.027,0.93,0.06,Ia-norm,0.0115,0.0,0.0115,,,,,,,,,,0.0140427472069859,,0.0
40,40,SN2010ev,0.0092,1.12,0.0,Ia-norm,0.0892,0.0,0.0892,1.0,1.2,0.3503565225166578,0.32,https://www.aanda.org/articles/aa/pdf/2016/06/aa27228-15.pdf,0.28,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.1037026196718216,0.2925258639551984,0.32
41,41,SN1994S,0.015177,0.94,0.06,Ia-norm,0.0182,0.2,0.0,1.4,1.0,0.145021223379384,,,,,,,0.0210275538265705,0.0114063819660046,0.145021223379384
42,42,SN1997cn,0.0161949999999999,1.9,0.05,Ia-91bg,0.0229,0.037,0.0,,,,0.0,https://arxiv.org/pdf/astro-ph/9808013.pdf,,,,,0.026751235127449,,0.0
43,43,SN2015F,0.00489,1.26,0.1,Ia-norm,0.1749,0.04,0.179,1.8,1.6,0.0659832599713124,0.035,https://academic.oup.com/mnras/article/464/4/4476/2417406,,,,,0.2032039016485214,0.1146087784371587,0.035
44,44,SN2006bq,0.021905,1.29,0.06,Ia-norm,0.0507,0.18,0.0,1.1,1.1,0.2076104689515966,,,,,,,0.0591528564691543,0.1150772540648468,0.2076104689515966
45,45,SN2012cg,0.00146,1.039,0.0,Ia-norm,0.0179,0.18,0.018,1.6,0.7,0.2728193733699697,0.18,https://arxiv.org/pdf/1507.07261.pdf,,,,,0.0206655357033014,0.132848398763457,0.18
46,46,SN2001ic,0.044237,1.236482598,0.074,Ia-norm,0.0591,0.2,0.0,,,,,,,,,,0.0681499168276786,,0.0
47,47,SN2007ci,0.018126,1.6,0.05,Ia-norm,0.0224,0.066,0.0,1.4,1.4,-0.0121411150372404,,,,,,,0.0258186776190996,-0.0791440696462437,-0.0121411150372404
48,48,SN1991M,0.0072349999999999,1.22157571,0.074,Ia-norm,0.0327,0.0,0.0327,1.8,0.7,0.222960280315102,,,,,,,0.0378951579332351,0.1032953181026172,0.222960280315102
49,49,SN1996Z,0.007575,1.22,0.1,Ia-norm,0.0547,0.0,0.0547,,,,,,,,,,0.06348617374897,,0.0
50,50,SN2006or,0.021013,1.062676017,0.074,Ia-norm,0.0255,0.12,0.0,1.0,1.1,0.7677280522874737,,,,,,,0.0360362604260444,0.6424926247632676,0.7677280522874737
51,51,SN2009dc,0.021391,0.72,0.0,Ia-supCh,0.0597,0.0,0.0597,0.2,1.6,0.0013771835216056,,,,,,,0.0699566528201103,-0.0507000681825182,0.0013771835216056
52,52,SN2007F,0.023591,0.96,0.03,Ia-norm,0.0145,0.046,0.0,1.2,1.1,0.0941790369313387,,,,,,,0.0173605065792799,-0.0447480531025199,0.0941790369313387
53,53,SN1989B,0.002425,1.114693888,0.074,Ia-norm,0.0284,0.0,0.0284,1.2,1.1,0.0935161864749313,0.39,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,,,0.033200018107891,-0.0348687289619178,0.39
54,54,SN2006eq,0.049509,1.62,0.05,Ia-norm,0.0416,0.0,0.0416,,,,0.11,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.0479541383683681,,0.11
55,55,SN2009ig,0.00877,0.89,0.0,Ia-norm,0.0269,0.0,0.029,1.1,0.7,0.1820813375304217,0.003,https://arxiv.org/pdf/1109.0987.pdf,,,,,0.0322410352528095,0.0647549381960743,0.003
56,56,SN2004gu,0.045859,0.940148299,0.074,Ia-norm,0.0223,0.0,0.0223,1.4,0.7,0.2438948541917899,0.253,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.096,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,0.0265463348478078,0.115785785564924,0.253
57,57,SN2006bz,0.027906,2.09,0.16,Ia-91bg,0.0086,0.0,0.0086,,,,,,,,,,0.0102577880024909,,0.0
