,Phase,Ascii file,Tel
0,-9.239999999997963,5162.SN2011fe.ascii,Lijiang-2.4m / YFOSC
1,-8.25,5163.SN2011fe.ascii,Lijiang-2.4m / YFOSC
2,-7.260000000002037,5164.SN2011fe.ascii,Lijiang-2.4m / YFOSC
3,-7.279999999998837,5165.SN2011fe.ascii,BAO-2.16m / Cassegrain
4,-6.2299999999959255,5166.SN2011fe.ascii,Lijiang-2.4m / YFOSC
5,3.7399999999979623,5173.SN2011fe.ascii,Lijiang-2.4m / YFOSC
6,9.739999999997963,5177.SN2011fe.ascii,Lijiang-2.4m / YFOSC
7,18.720000000001164,5178.SN2011fe.ascii,Lijiang-2.4m / YFOSC
8,-6.650000000001455,5208.SN2011fe.ascii,P200 / DBSP
9,-9.919999999998254,5269.SN2011fe.ascii,WHT-4.2m / ISIS
10,-9.549999999995633,5270.SN2011fe.ascii,Keck1 / LRIS
11,-8.839999999996508,5271.SN2011fe.ascii,WHT-4.2m / ISIS
12,-8.029999999998836,5272.SN2011fe.ascii,Gemini-N / GMOS
13,-7.879999999997381,5273.SN2011fe.ascii,WHT-4.2m / ISIS
14,-1.5499999999956344,5274.SN2011fe.ascii,Gemini-N / GMOS
15,-0.5499999999956344,5275.SN2011fe.ascii,Gemini-N / GMOS
16,2.4400000000023283,5276.SN2011fe.ascii,Gemini-N / GMOS
17,3.4899999999979627,5277.SN2011fe.ascii,Gemini-N / GMOS
18,7.489999999997963,5278.SN2011fe.ascii,Gemini-N / GMOS
19,15.489999999997965,5279.SN2011fe.ascii,Gemini-N / GMOS
20,-9.529999999998836,5321.SN2011fe.ascii,HST / STIS
21,-6.400138888886431,5325.SN2011fe.ascii,HST / STIS
22,-2.4098611111112405,5332.SN2011fe.ascii,HST / STIS
23,0.6102777777850861,5339.SN2011fe.ascii,HST / STIS
24,3.8901388888843935,5349.SN2011fe.ascii,HST / STIS
25,9.84013888888876,5357.SN2011fe.ascii,HST / STIS
26,-9.536099537042901,104753.SN2011fe.ascii,UH88 / SNIFS
27,-8.531770833331393,104754.SN2011fe.ascii,UH88 / SNIFS
28,-7.539548611115607,104755.SN2011fe.ascii,UH88 / SNIFS
29,-6.521157407412829,104756.SN2011fe.ascii,UH88 / SNIFS
30,-5.5407523148096525,104757.SN2011fe.ascii,UH88 / SNIFS
31,-4.542071759256942,104758.SN2011fe.ascii,UH88 / SNIFS
32,-0.5367476851824904,104759.SN2011fe.ascii,UH88 / SNIFS
33,0.4484837962882011,104760.SN2011fe.ascii,UH88 / SNIFS
34,1.447893518517958,104761.SN2011fe.ascii,UH88 / SNIFS
35,2.4472916666709352,104762.SN2011fe.ascii,UH88 / SNIFS
36,3.444629629630072,104763.SN2011fe.ascii,UH88 / SNIFS
37,4.455127314817219,104764.SN2011fe.ascii,UH88 / SNIFS
38,7.448101851856335,104765.SN2011fe.ascii,UH88 / SNIFS
39,9.442777777781883,104766.SN2011fe.ascii,UH88 / SNIFS
40,12.435127314813144,104767.SN2011fe.ascii,UH88 / SNIFS
41,14.438819444447288,104768.SN2011fe.ascii,UH88 / SNIFS
42,17.431458333332554,104769.SN2011fe.ascii,UH88 / SNIFS
43,19.437071759261013,104770.SN2011fe.ascii,UH88 / SNIFS
